Curr State,,Next State,,,,,,,100,,,,,,1000,,,,,10000,,,,100000,,,1000000
,,100,1000,10000,100000,1000000,1000000,,v1000,v10000,v100000,v1000000,v10000000,,v1000,v10000,v100000,v1000000,,v10000,v100000,v1000000,,v100000,v1000000,,v1000000
3241,,1132,1132,1132,1132,1132,1132,,TRUE,TRUE,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,,TRUE,TRUE,,TRUE
3242,,2132,4032,4032,2132,2132,2132,,FALSE,FALSE,TRUE,TRUE,TRUE,,TRUE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,,TRUE,TRUE,,TRUE
3243,,4032,4032,4032,4032,4032,4032,,TRUE,TRUE,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,,TRUE,TRUE,,TRUE
3244,,4132,4232,4232,4232,4232,4132,,FALSE,FALSE,FALSE,FALSE,TRUE,,TRUE,TRUE,TRUE,FALSE,,TRUE,TRUE,FALSE,,TRUE,FALSE,,FALSE
3310,,4033,1042,1042,1042,1042,1042,,FALSE,FALSE,FALSE,FALSE,FALSE,,TRUE,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,,TRUE,TRUE,,TRUE
3311,,4133,1142,1142,1142,1142,1142,,FALSE,FALSE,FALSE,FALSE,FALSE,,TRUE,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,,TRUE,TRUE,,TRUE
3320,,33,33,33,33,33,33,,TRUE,TRUE,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,,TRUE,TRUE,,TRUE
3321,,2142,1033,1033,1033,1033,1033,,FALSE,FALSE,FALSE,FALSE,FALSE,,TRUE,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,,TRUE,TRUE,,TRUE
3322,,2242,2033,2033,2033,2033,2033,,FALSE,FALSE,FALSE,FALSE,FALSE,,TRUE,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,,TRUE,TRUE,,TRUE
3330,,3042,1033,1033,1033,1033,1033,,FALSE,FALSE,FALSE,FALSE,FALSE,,TRUE,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,,TRUE,TRUE,,TRUE
3331,,1133,1133,1133,1133,1133,1133,,TRUE,TRUE,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,,TRUE,TRUE,,TRUE
3332,,2133,2133,2133,3033,3033,3033,,TRUE,TRUE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,,TRUE,TRUE,,TRUE
3333,,3133,3133,3133,3133,3133,3133,,TRUE,TRUE,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,,TRUE,TRUE,,TRUE
3340,,4042,4042,2033,2033,2033,2033,,TRUE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,,TRUE,TRUE,TRUE,,TRUE,TRUE,,TRUE
3341,,2133,2133,2133,2133,2133,2133,,TRUE,TRUE,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,,TRUE,TRUE,,TRUE
3342,,4033,4033,4033,4033,4033,4033,,TRUE,TRUE,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,,TRUE,TRUE,,TRUE
3343,,4133,4133,4133,4133,4133,4133,,TRUE,TRUE,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,,TRUE,TRUE,,TRUE
3344,,4233,4233,4233,4442,4442,4442,,TRUE,TRUE,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,,TRUE,TRUE,,TRUE
4010,,40,40,40,40,40,40,,TRUE,TRUE,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,,TRUE,TRUE,,TRUE
4011,,1122,1131,1131,1131,1131,1131,,FALSE,FALSE,FALSE,FALSE,FALSE,,TRUE,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,,TRUE,TRUE,,TRUE
4020,,2031,2031,2031,2031,2031,2031,,TRUE,TRUE,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,,TRUE,TRUE,,TRUE
4021,,2122,2122,2122,2122,2122,2122,,TRUE,TRUE,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,,TRUE,TRUE,,TRUE
4022,,2140,2231,2231,2231,2231,2231,,FALSE,FALSE,FALSE,FALSE,FALSE,,TRUE,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,,TRUE,TRUE,,TRUE
4030,,3022,3022,3022,3022,3022,3022,,TRUE,TRUE,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,,TRUE,TRUE,,TRUE
